product;Bart Smit;Toys"R"Us;Intertoys;Het Deense Steentje;Pink or Blue;BRICKshop;A-Tembo;Mister Bricks;Brinic;'t Blokjeshuis;Amazon.fr;SpeelgoedNL;Click&brick;Zavvi;Amazon.it;PlanetHappy;Superspeelgoed;Lego Shop @ Home NL;Speelgoedshop;Amazon.es;Wehkamp;SinQel;Windeln.de;Blokjesstore;Conrad;Telekids Toys;Bol.com;Amazon.de;ffShoppen;Internet Toys;Speelgoedstunter;V&D;Amazon.co.uk;Blokker;fonQ.nl;Brick Hunters;Pixmania;De Grote Speelgoedwinkel;Fokkido
10699;€ 9,63;€ 9,98;€ 10,98;€ 11,70;€ 11,88;€ 11,90;€ 11,90;€ 11,90;€ 11,94;€ 12,70;€ 12,85;€ 12,90;€ 12,94;€ 12,95;€ 12,99;€ 13,88;€ 13,90;€ 13,94;€ 14,99;€ 15,09;;;;;;;;;;;;;;;;;;;
10700;€ 10,98;€ 11,98;€ 10,98;€ 11,70;€ 11,48;€ 11,90;€ 11,90;€ 11,90;€ 11,94;€ 12,70;;€ 12,90;€ 12,94;€ 12,95;;€ 13,88;€ 13,90;€ 13,94;;;€ 13,94;;;;;;;;;;;;;;;;;;
7280;;€ 11,98;€ 12,98;;€ 13,89;€ 12,90;€ 13,90;€ 12,90;€ 13,94;€ 14,45;€ 17,35;€ 13,45;;€ 15,85;;€ 14,88;€ 14,90;€ 15,94;€ 17,99;;;€ 11,98;€ 13,94;€ 15,79;€ 15,94;;;;;;;;;;;;;;
60055;;€ 12,98;;;€ 13,98;€ 13,90;;;;;;;€ 14,95;;;€ 14,88;€ 15,90;€ 15,94;;;;;€ 13,93;;;€ 13,98;;;;;;;;;;;;;
70779;€ 11,98;€ 11,98;;;€ 13,89;;;;;€ 14,90;€ 15,19;;€ 13,94;€ 14,39;;;€ 15,90;€ 15,94;;;;;;€ 14,99;€ 15,94;;;;;;;;;;;;;;
10677;;€ 11,98;€ 11,98;;€ 13,48;;€ 13,90;;;€ 14,95;;€ 14,90;€ 14,90;€ 15,85;€ 15,09;;€ 15,90;€ 15,94;€ 9,99;€ 14,10;;;€ 13,94;€ 14,99;;;€ 10,98;€ 12,74;€ 13,90;€ 15,40;;;;;;;;;
41092;;;;€ 13,45;;€ 14,90;€ 13,90;;;€ 14,70;;€ 14,45;€ 14,94;€ 15,85;€ 14,99;;€ 15,90;€ 15,94;;€ 16,10;;;;€ 14,99;€ 15,94;;€ 11,98;;;€ 16,90;€ 13,90;;;;;;;;
70409;€ 12,98;€ 11,98;€ 12,98;;;€ 14,90;€ 13,90;€ 13,90;;€ 14,70;;€ 14,90;;;€ 19,44;€ 14,88;€ 15,90;€ 15,94;€ 9,99;€ 16,09;;;€ 13,94;€ 14,99;€ 15,94;;;;;€ 20,25;;;;;;;;;
75076;;€ 11,98;;;€ 14,48;€ 14,90;€ 14,90;€ 13,90;;€ 14,95;;€ 14,90;€ 13,94;€ 14,39;€ 15,49;;;€ 15,94;€ 12,98;;;;;€ 14,99;;;;;;;;;;;;;;;
42031;€ 11,98;€ 11,98;;€ 13,45;€ 14,48;€ 14,90;€ 13,90;€ 13,40;;€ 14,95;€ 16,09;€ 14,45;€ 14,44;€ 12,95;;€ 14,88;€ 15,90;€ 15,94;;;€ 15,94;;;;€ 14,94;;€ 11,98;;;;;€ 12,44; € 17,49(£ 12,39);;;;;;
75074;;€ 11,98;;;€ 14,98;€ 14,90;€ 14,90;;;€ 14,95;€ 16,09;€ 14,90;€ 13,94;;€ 15,29;€ 14,88;;€ 15,94;€ 9,99;;€ 13,46;;€ 13,93;€ 14,99;€ 16,94;;€ 11,98;;;€ 15,40;;;;;;;;;
75075;;€ 11,98;;;€ 14,98;€ 14,90;€ 14,90;;;;;;;€ 14,39;€ 15,49;;;€ 15,94;€ 9,99;;;;€ 13,93;€ 14,99;;;;;;;;;;;;;;;
10701;;€ 16,98;;€ 16,45;€ 16,94;;€ 16,90;;;€ 17,70;€ 16,99;€ 17,90;€ 17,90;€ 20,15;€ 19,99;;€ 18,90;€ 20,94;€ 18,95;€ 21,09;€ 18,94;€ 16,48;;;;;;;;;;; € 24,55(£ 17,37);;;;;;
70792;;;€ 17,98;;€ 19,98;;;;;€ 18,45;;€ 18,90;€ 17,94;€ 18,75;€ 19,09;;€ 19,90;€ 20,94;€ 15,98;;€ 20,94;;;€ 19,99;€ 20,94;;€ 15,98;;;;;; € 20,23(£ 14,38);;;;;;
70793;€ 16,98;;€ 17,98;;€ 19,98;;;;;€ 18,45;€ 17,10;€ 18,90;€ 17,94;€ 18,75;€ 20,00;;;€ 20,94;€ 15,98;;€ 20,94;;;€ 19,99;€ 20,94;;€ 15,98;€ 16,70;;;;; € 20,28(£ 14,39);;;;;;
